Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
3128631749,125,FALSE,Rx,0,6,0,0,0,5,4,5,0,0
3128632852,165,FALSE,Rx,0,8,1,F3,0,0,0,0,4,25
3128636776,130,FALSE,Rx,0,7,80,0,1,3E,60,5,1C,0
3128639802,120,FALSE,Rx,0,8,2,4,84,B0,0,0,5,10
3128641749,125,FALSE,Rx,0,6,0,0,0,5,5,18,0,0
3128642852,165,FALSE,Rx,0,8,1,F3,0,0,0,0,5,38
3128646776,130,FALSE,Rx,0,7,80,0,1,40,60,6,7A,0
3128649803,120,FALSE,Rx,0,8,2,4,84,B0,0,0,6,37
3128651749,125,FALSE,Rx,0,6,0,0,0,5,6,3F,0,0
3128652844,165,FALSE,Rx,0,8,1,F3,0,0,0,0,6,1F
3128656776,130,FALSE,Rx,0,7,80,0,1,3F,60,7,A9,0
3128659803,120,FALSE,Rx,0,8,2,4,84,B0,0,0,7,2A
3128661749,125,FALSE,Rx,0,6,0,0,0,5,7,22,0,0
3128662844,165,FALSE,Rx,0,8,1,F3,0,0,0,0,7,2
3128666767,130,FALSE,Rx,0,7,80,0,1,40,60,8,DC,0
3128669802,120,FALSE,Rx,0,8,2,4,84,B0,0,0,8,91
3128671748,125,FALSE,Rx,0,6,0,0,0,5,8,99,0,0
3128672851,165,FALSE,Rx,0,8,1,F3,0,0,0,0,8,B9
3128676775,130,FALSE,Rx,0,7,80,0,1,3F,60,9,0F,0
3128679024,135,FALSE,Rx,0,8,8,0,6F,0,0,0,0,2
3128679802,120,FALSE,Rx,0,8,2,4,84,B0,0,0,9,8C
3128681743,125,FALSE,Rx,0,6,0,0,0,5,9,84,0,0
3128682847,165,FALSE,Rx,0,8,1,F4,0,0,0,0,9,6B
3128686777,130,FALSE,Rx,0,7,80,0,1,40,60,0A,E6,0
3128689805,120,FALSE,Rx,0,8,2,4,84,B0,0,0,0A,AB
3128691744,125,FALSE,Rx,0,6,0,0,0,5,0A,A3,0,0
3128692847,165,FALSE,Rx,0,8,1,F4,0,0,0,0,0A,4C
3128696778,130,FALSE,Rx,0,7,80,0,1,41,60,0B,74,0
3128699805,120,FALSE,Rx,0,8,2,4,84,B0,0,0,0B,B6
3128701752,125,FALSE,Rx,0,6,0,0,0,5,0B,BE,0,0
3128702847,165,FALSE,Rx,0,8,1,F4,0,0,0,0,0B,51
3128706779,130,FALSE,Rx,0,7,80,0,1,41,60,0C,27,0
